total_vaccs,ppl_vaccd,ppl_fully_vaccd,daily_vaccs,total_vaccs_per_100,ppl_fully_vaccd_per_100,daily_vaccs_per_million,clusters
1094522.96,5341596.08,3041823.96,5326,27.29,11.26,137,0
600152,480226,119926,4746,1.54,0.31,122,0
1094522.96,5341596.08,3041823.96,5084,27.29,11.26,131,0
1094522.96,5341596.08,3041823.96,5102,27.29,11.26,131,0
626290,481690,144600,5119,1.61,0.37,131,0
630305,481800,148505,5285,1.62,0.38,136,0
1094522.96,5341596.08,3041823.96,5273,27.29,11.26,135,0
1094522.96,5341596.08,3041823.96,5261,27.29,11.26,135,0
1094522.96,5341596.08,3041823.96,5250,27.29,11.26,135,0
1094522.96,5341596.08,3041823.96,4319,27.29,11.26,111,0
641295,482952,158343,3388,1.65,0.41,87,0
1094522.96,5341596.08,3041823.96,2637,27.29,11.26,68,0
1094522.96,5341596.08,3041823.96,2556,27.29,11.26,66,0
1094522.96,5341596.08,3041823.96,2735,27.29,11.26,70,0
1094522.96,5341596.08,3041823.96,2914,27.29,11.26,75,0
1094522.96,5341596.08,3041823.96,3093,27.29,11.26,79,0
662003,484737,177266,3272,1.7,0.46,84,0
1094522.96,5341596.08,3041823.96,4813,27.29,11.26,124,0
1094522.96,5341596.08,3041823.96,6175,27.29,11.26,159,0
1094522.96,5341596.08,3041823.96,7538,27.29,11.26,194,0
1094522.96,5341596.08,3041823.96,8900,27.29,11.26,229,0
1094522.96,5341596.08,3041823.96,10262,27.29,11.26,264,0
1094522.96,5341596.08,3041823.96,11624,27.29,11.26,299,0
1094522.96,5341596.08,3041823.96,12986,27.29,11.26,334,0
765890,582128,183762,12986,1.97,0.47,334,0
1094522.96,5341596.08,3041823.96,13125,27.29,11.26,337,0
1094522.96,5341596.08,3041823.96,13264,27.29,11.26,341,0
1094522.96,5341596.08,3041823.96,13404,27.29,11.26,344,0
1094522.96,5341596.08,3041823.96,13543,27.29,11.26,348,0
835694,649434,186260,13682,2.15,0.48,351,0
1094522.96,5341596.08,3041823.96,14263,27.29,11.26,366,0
1094522.96,5341596.08,3041823.96,14844,27.29,11.26,381,0
886854,699200,187654,15286,2.28,0.48,393,0
1094522.96,5341596.08,3041823.96,14115,27.29,11.26,363,0
1094522.96,5341596.08,3041823.96,12944,27.29,11.26,333,0
1094522.96,5341596.08,3041823.96,11773,27.29,11.26,302,0
1094522.96,5341596.08,3041823.96,10602,27.29,11.26,272,0
915671,726349,189322,8989,2.35,0.49,231,0
0,0,3041823.96,112209.42,0,11.26,3376.55,0
1094522.96,5341596.08,3041823.96,64,27.29,11.26,22,0
128,128,3041823.96,64,0,11.26,22,0
188,188,3041823.96,63,0.01,11.26,22,0
266,266,3041823.96,66,0.01,11.26,23,0
308,308,3041823.96,62,0.01,11.26,22,0
369,369,3041823.96,62,0.01,11.26,22,0
405,405,3041823.96,58,0.01,11.26,20,0
447,447,3041823.96,55,0.02,11.26,19,0
483,483,3041823.96,51,0.02,11.26,18,0
519,519,3041823.96,47,0.02,11.26,16,0
549,549,3041823.96,40,0.02,11.26,14,0
1094522.96,5341596.08,3041823.96,34,27.29,11.26,12,0
1094522.96,5341596.08,3041823.96,26,27.29,11.26,9,0
1094522.96,5341596.08,3041823.96,21,27.29,11.26,7,0
1094522.96,5341596.08,3041823.96,15,27.29,11.26,5,0
1094522.96,5341596.08,3041823.96,9,27.29,11.26,3,0
1094522.96,5341596.08,3041823.96,4,27.29,11.26,1,0
1094522.96,5341596.08,3041823.96,0,27.29,11.26,0,0
1094522.96,5341596.08,3041823.96,0,27.29,11.26,0,0
1094522.96,5341596.08,3041823.96,0,27.29,11.26,0,0
1094522.96,5341596.08,3041823.96,0,27.29,11.26,0,0
1094522.96,5341596.08,3041823.96,0,27.29,11.26,0,0
550,549,1,0,0.02,0,0,0
1094522.96,5341596.08,3041823.96,12,27.29,11.26,4,0
1094522.96,5341596.08,3041823.96,24,27.29,11.26,8,0
1094522.96,5341596.08,3041823.96,35,27.29,11.26,12,0
1094522.96,5341596.08,3041823.96,47,27.29,11.26,16,0
1094522.96,5341596.08,3041823.96,59,27.29,11.26,21,0
1094522.96,5341596.08,3041823.96,71,27.29,11.26,25,0
1127,689,438,82,0.04,0.02,28,0
1094522.96,5341596.08,3041823.96,81,27.29,11.26,28,0
1094522.96,5341596.08,3041823.96,79,27.29,11.26,27,0
1094522.96,5341596.08,3041823.96,78,27.29,11.26,27,0
1094522.96,5341596.08,3041823.96,76,27.29,11.26,26,0
1094522.96,5341596.08,3041823.96,75,27.29,11.26,26,0
1094522.96,5341596.08,3041823.96,73,27.29,11.26,25,0
1094522.96,5341596.08,3041823.96,72,27.29,11.26,25,0
1701,1090,611,72,0.06,0.02,25,0
3049,2438,611,254,0.11,0.02,88,0
4177,5341596.08,3041823.96,405,0.15,11.26,141,0
1094522.96,5341596.08,3041823.96,516,27.29,11.26,179,0
1094522.96,5341596.08,3041823.96,627,27.29,11.26,218,0
6728,6073,655,739,0.23,0.02,257,0
1094522.96,5341596.08,3041823.96,891,27.29,11.26,310,0
1094522.96,5341596.08,3041823.96,1043,27.29,11.26,362,0
10135,5341596.08,3041823.96,1012,0.35,11.26,352,0
1094522.96,5341596.08,3041823.96,1000,27.29,11.26,347,0
1094522.96,5341596.08,3041823.96,1027,27.29,11.26,357,0
1094522.96,5341596.08,3041823.96,1054,27.29,11.26,366,0
14295,5341596.08,3041823.96,1081,0.5,11.26,376,0
1094522.96,5341596.08,3041823.96,1026,27.29,11.26,357,0
15793,5341596.08,3041823.96,971,0.55,11.26,337,0
1094522.96,5341596.08,3041823.96,927,27.29,11.26,322,0
1094522.96,5341596.08,3041823.96,897,27.29,11.26,312,0
1094522.96,5341596.08,3041823.96,867,27.29,11.26,301,0
1094522.96,5341596.08,3041823.96,838,27.29,11.26,291,0
1094522.96,5341596.08,3041823.96,808,27.29,11.26,281,0
1094522.96,5341596.08,3041823.96,820,27.29,11.26,285,0
21613,5341596.08,3041823.96,831,0.75,11.26,289,0
1094522.96,5341596.08,3041823.96,857,27.29,11.26,298,0
23635,5341596.08,3041823.96,883,0.82,11.26,307,0
1094522.96,5341596.08,3041823.96,1042,27.29,11.26,362,0
1094522.96,5341596.08,3041823.96,1201,27.29,11.26,417,0
1094522.96,5341596.08,3041823.96,1361,27.29,11.26,473,0
1094522.96,5341596.08,3041823.96,1520,27.29,11.26,528,0
33369,5341596.08,3041823.96,1679,1.16,11.26,583,0
1094522.96,5341596.08,3041823.96,1960,27.29,11.26,681,0
1094522.96,5341596.08,3041823.96,2240,27.29,11.26,778,0
1094522.96,5341596.08,3041823.96,2386,27.29,11.26,829,0
1094522.96,5341596.08,3041823.96,2533,27.29,11.26,880,0
48229,5341596.08,3041823.96,2679,1.68,11.26,931,0
51690,5341596.08,3041823.96,2895,1.8,11.26,1006,0
53992,5341596.08,3041823.96,2946,1.88,11.26,1024,0
59348,5341596.08,3041823.96,3287,2.06,11.26,1142,0
62248,5341596.08,3041823.96,3276,2.16,11.26,1138,0
64075,5341596.08,3041823.96,3113,2.23,11.26,1082,0
78000,5341596.08,3041823.96,4678,2.71,11.26,1626,0
1094522.96,5341596.08,3041823.96,7204,27.29,11.26,2503,0
119321,5341596.08,3041823.96,9662,4.15,11.26,3357,0
138846,5341596.08,3041823.96,12122,4.82,11.26,4212,0
155463,5341596.08,3041823.96,13731,5.4,11.26,4771,0
172486,5341596.08,3041823.96,15748,5.99,11.26,5472,0
185496,5341596.08,3041823.96,17346,6.45,11.26,6028,0
192882,5341596.08,3041823.96,16412,6.7,11.26,5703,0
206708,5341596.08,3041823.96,15435,7.18,11.26,5363,0
221588,5341596.08,3041823.96,14610,7.7,11.26,5077,0
232379,5341596.08,3041823.96,13362,8.07,11.26,4643,0
242542,5341596.08,3041823.96,12440,8.43,11.26,4323,0
250676,5341596.08,3041823.96,11170,8.71,11.26,3881,0
256810,5341596.08,3041823.96,10188,8.92,11.26,3540,0
1094522.96,5341596.08,3041823.96,9898,27.29,11.26,3439,0
267531,5341596.08,3041823.96,8689,9.3,11.26,3019,0
281216,5341596.08,3041823.96,8518,9.77,11.26,2960,0
1094522.96,5341596.08,3041823.96,8639,27.29,11.26,3002,0
304488,5341596.08,3041823.96,8849,10.58,11.26,3075,0
314622,5341596.08,3041823.96,9135,10.93,11.26,3174,0
324840,5341596.08,3041823.96,9719,11.29,11.26,3377,0
332905,5341596.08,3041823.96,10105,11.57,11.26,3511,0
345934,5341596.08,3041823.96,11200,12.02,11.26,3892,0
350000,5341596.08,3041823.96,9826,12.16,11.26,3414,0
372075,5341596.08,3041823.96,11318,12.93,11.26,3933,0
382998,5341596.08,3041823.96,11216,13.31,11.26,3897,0
391351,5341596.08,3041823.96,10961,13.6,11.26,3809,0
400064,5341596.08,3041823.96,10746,13.9,11.26,3734,0
1094522.96,5341596.08,3041823.96,10205,27.29,11.26,3546,0
408619,5341596.08,3041823.96,8955,14.2,11.26,3112,0
416855,5341596.08,3041823.96,9551,14.49,11.26,3319,0
433628,5341596.08,3041823.96,8793,15.07,11.26,3055,0
453248,5341596.08,3041823.96,10036,15.75,11.26,3487,0
476903,5341596.08,3041823.96,12222,16.57,11.26,4247,0
494028,5341596.08,3041823.96,13423,17.17,11.26,4664,0
1094522.96,5341596.08,3041823.96,14489,27.29,11.26,5035,0
517501,5341596.08,3041823.96,15555,17.98,11.26,5405,0
537387,5341596.08,3041823.96,17219,18.67,11.26,5983,0
556584,5341596.08,3041823.96,17565,19.34,11.26,6104,0
572226,5341596.08,3041823.96,16997,19.88,11.26,5906,0
585693,5341596.08,3041823.96,15541,20.35,11.26,5400,0
596766,5341596.08,3041823.96,14677,20.74,11.26,5100,0
600000,5341596.08,3041823.96,13462,20.85,11.26,4678,0
612959,5341596.08,3041823.96,13637,21.3,11.26,4739,0
622507,440921,181586,12160,21.63,6.31,4225,0
632676,444755,187921,10870,21.98,6.53,3777,0
638338,445402,192936,9445,22.18,6.7,3282,0
653330,448571,204759,9662,22.7,7.12,3357,0
1094522.96,5341596.08,3041823.96,9355,27.29,11.26,3251,0
1094522.96,5341596.08,3041823.96,10166,27.29,11.26,3533,0
680083,456980,223103,9589,23.63,7.75,3332,0
688947,460191,228756,9491,23.94,7.95,3298,0
697811,463402,234409,9305,24.25,8.15,3233,0
703743,466083,237660,9344,24.45,8.26,3247,0
708846,469169,239677,7931,24.63,8.33,2756,0
1094522.96,5341596.08,3041823.96,7212,27.29,11.26,2506,0
716616,472840,243776,6493,24.9,8.47,2256,0
725135,475237,249898,6436,25.2,8.68,2236,0
1094522.96,5341596.08,3041823.96,6873,27.29,11.26,2388,0
748986,479789,269197,7311,26.03,9.35,2540,0
759043,481788,277255,7900,26.38,9.63,2745,0
1094522.96,5341596.08,3041823.96,7798,27.29,11.26,2710,0
1094522.96,5341596.08,3041823.96,7869,27.29,11.26,2734,0
772204,485162,287042,7941,26.83,9.97,2759,0
776461,486128,290333,7332,26.98,10.09,2548,0
780342,487078,293264,6183,27.12,10.19,2149,0
1094522.96,5341596.08,3041823.96,4978,27.29,11.26,1730,0
787321,490050,297271,4040,27.36,10.33,1404,0
1094522.96,5341596.08,3041823.96,3951,27.29,11.26,1373,0
1094522.96,5341596.08,3041823.96,3863,27.29,11.26,1342,0
798624,492522,306102,3774,27.75,10.64,1311,0
803682,493346,310336,3889,27.93,10.78,1351,0
809992,494437,315555,4236,28.15,10.97,1472,0
816556,496024,320532,4675,28.37,11.14,1625,0
823053,498437,324616,5105,28.6,11.28,1774,0
830281,501735,328546,5599,28.85,11.42,1946,0
834868,503721,331147,5716,29.01,11.51,1986,0
836430,504257,332173,5401,29.06,11.54,1877,0
842535,507764,334771,5550,29.28,11.63,1929,0
848430,507854,340576,5491,29.48,11.83,1908,0
854227,509282,344945,5382,29.68,11.99,1870,0
862628,511175,351453,5654,29.98,12.21,1965,0
1094522.96,5341596.08,3041823.96,5492,27.29,11.26,1908,0
1094522.96,5341596.08,3041823.96,5707,27.29,11.26,1983,0
880912,515884,365028,6355,30.61,12.68,2208,0
890052,519674,370378,6788,30.93,12.87,2359,0
901429,525800,375629,7571,31.32,13.05,2631,0
912874,532225,380649,8378,31.72,13.23,2911,0
922886,537018,385868,8608,32.07,13.41,2991,0
1094522.96,5341596.08,3041823.96,8472,27.29,11.26,2944,0
1094522.96,5341596.08,3041823.96,8335,27.29,11.26,2896,0
1094522.96,5341596.08,3041823.96,8198,27.29,11.26,2849,0
943439,547300,396139,7627,32.78,13.77,2650,0
955498,556252,399246,7724,33.2,13.87,2684,0
968034,564530,403504,7880,33.64,14.02,2738,0
974486,567084,407402,7371,33.86,14.16,2561,0
981499,569352,412147,7639,34.11,14.32,2654,0
1094522.96,5341596.08,3041823.96,7409,27.29,11.26,2575,0
988550,571759,416791,7178,34.35,14.48,2494,0
994081,574187,419894,7235,34.54,14.59,2514,0
1000063,576905,423158,6366,34.75,14.7,2212,0
0,0,3041823.96,112209.42,0,11.26,3376.55,0
30,30,3041823.96,30,0,11.26,1,0
1094522.96,5341596.08,3041823.96,1889,27.29,11.26,43,0
1094522.96,5341596.08,3041823.96,2509,27.29,11.26,57,0
1094522.96,5341596.08,3041823.96,2819,27.29,11.26,64,0
1094522.96,5341596.08,3041823.96,3005,27.29,11.26,69,0
1094522.96,5341596.08,3041823.96,3129,27.29,11.26,71,0
1094522.96,5341596.08,3041823.96,3217,27.29,11.26,73,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
1094522.96,5341596.08,3041823.96,3748,27.29,11.26,85,0
75000,75000,3041823.96,3748,0.17,11.26,85,0
1094522.96,5341596.08,3041823.96,6451,27.29,11.26,147,0
1094522.96,5341596.08,3041823.96,9153,27.29,11.26,209,0
1094522.96,5341596.08,3041823.96,11855,27.29,11.26,270,0
1094522.96,5341596.08,3041823.96,14557,27.29,11.26,332,0
1094522.96,5341596.08,3041823.96,17259,27.29,11.26,394,0
1094522.96,5341596.08,3041823.96,19961,27.29,11.26,455,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
1094522.96,5341596.08,3041823.96,22664,27.29,11.26,517,0
2500000,2500000,3041823.96,22664,5.7,11.26,517,0
576,576,3041823.96,112209.42,0.75,11.26,3376.55,0
1094522.96,5341596.08,3041823.96,66,27.29,11.26,854,0
