location,date,vaccine,total_vaccinations
Austria,8/01/2021,Johnson&Johnson,0
Austria,8/01/2021,Moderna,0
Austria,8/01/2021,Oxford/AstraZeneca,0
Austria,8/01/2021,Pfizer/BioNTech,30938
Austria,15/01/2021,Johnson&Johnson,0
Austria,15/01/2021,Moderna,88
Austria,15/01/2021,Oxford/AstraZeneca,0
Austria,15/01/2021,Pfizer/BioNTech,115489
Austria,22/01/2021,Johnson&Johnson,0
Austria,22/01/2021,Moderna,298
Austria,22/01/2021,Oxford/AstraZeneca,0
Austria,22/01/2021,Pfizer/BioNTech,212685
Austria,29/01/2021,Johnson&Johnson,0
Austria,29/01/2021,Moderna,4162
Austria,29/01/2021,Oxford/AstraZeneca,0
Austria,29/01/2021,Pfizer/BioNTech,257302
Austria,5/02/2021,Johnson&Johnson,0
Austria,5/02/2021,Moderna,5842
Austria,5/02/2021,Oxford/AstraZeneca,2
Austria,5/02/2021,Pfizer/BioNTech,352578
Austria,12/02/2021,Johnson&Johnson,0
Austria,12/02/2021,Moderna,9909
Austria,12/02/2021,Oxford/AstraZeneca,10769
Austria,12/02/2021,Pfizer/BioNTech,453512
Austria,19/02/2021,Johnson&Johnson,0
Austria,19/02/2021,Moderna,14028
Austria,19/02/2021,Oxford/AstraZeneca,43486
Austria,19/02/2021,Pfizer/BioNTech,519022
Austria,26/02/2021,Johnson&Johnson,0
Austria,26/02/2021,Moderna,22299
Austria,26/02/2021,Oxford/AstraZeneca,101181
Austria,26/02/2021,Pfizer/BioNTech,579984
Austria,5/03/2021,Johnson&Johnson,0
Austria,5/03/2021,Moderna,31549
Austria,5/03/2021,Oxford/AstraZeneca,155850
Austria,5/03/2021,Pfizer/BioNTech,684045
Austria,12/03/2021,Johnson&Johnson,0
Austria,12/03/2021,Moderna,46850
Austria,12/03/2021,Oxford/AstraZeneca,234056
Austria,12/03/2021,Pfizer/BioNTech,846943
Austria,19/03/2021,Johnson&Johnson,13
Austria,19/03/2021,Moderna,78557
Austria,19/03/2021,Oxford/AstraZeneca,307062
Austria,19/03/2021,Pfizer/BioNTech,979059
Austria,26/03/2021,Johnson&Johnson,21
Austria,26/03/2021,Moderna,103870
Austria,26/03/2021,Oxford/AstraZeneca,381968
Austria,26/03/2021,Pfizer/BioNTech,1124524
Austria,2/04/2021,Johnson&Johnson,34
Austria,2/04/2021,Moderna,140057
Austria,2/04/2021,Oxford/AstraZeneca,420389
Austria,2/04/2021,Pfizer/BioNTech,1271830
Austria,9/04/2021,Johnson&Johnson,57
Austria,9/04/2021,Moderna,179397
Austria,9/04/2021,Oxford/AstraZeneca,510450
Austria,9/04/2021,Pfizer/BioNTech,1492535
Austria,16/04/2021,Johnson&Johnson,60
Austria,16/04/2021,Moderna,221646
Austria,16/04/2021,Oxford/AstraZeneca,605892
Austria,16/04/2021,Pfizer/BioNTech,1725101
Austria,23/04/2021,Johnson&Johnson,64
Austria,23/04/2021,Moderna,258792
Austria,23/04/2021,Oxford/AstraZeneca,654452
Austria,23/04/2021,Pfizer/BioNTech,1987657
Austria,30/04/2021,Johnson&Johnson,316
Austria,30/04/2021,Moderna,297565
Austria,30/04/2021,Oxford/AstraZeneca,696392
Austria,30/04/2021,Pfizer/BioNTech,2260066
Austria,7/05/2021,Johnson&Johnson,6409
Austria,7/05/2021,Moderna,346509
Austria,7/05/2021,Oxford/AstraZeneca,758865
Austria,7/05/2021,Pfizer/BioNTech,2589348
Austria,14/05/2021,Johnson&Johnson,13339
Austria,14/05/2021,Moderna,396038
Austria,14/05/2021,Oxford/AstraZeneca,822509
Austria,14/05/2021,Pfizer/BioNTech,2888141
Austria,21/05/2021,Johnson&Johnson,25541
Austria,21/05/2021,Moderna,463536
Austria,21/05/2021,Oxford/AstraZeneca,899585
Austria,21/05/2021,Pfizer/BioNTech,3265481
Austria,28/05/2021,Johnson&Johnson,37640
Austria,28/05/2021,Moderna,516662
Austria,28/05/2021,Oxford/AstraZeneca,981844
Austria,28/05/2021,Pfizer/BioNTech,3600046
Austria,4/06/2021,Johnson&Johnson,57074
Austria,4/06/2021,Moderna,571482
Austria,4/06/2021,Oxford/AstraZeneca,1049815
Austria,4/06/2021,Pfizer/BioNTech,4027059
Austria,11/06/2021,Johnson&Johnson,78468
Austria,11/06/2021,Moderna,633504
Austria,11/06/2021,Oxford/AstraZeneca,1144229
Austria,11/06/2021,Pfizer/BioNTech,4471592
Austria,18/06/2021,Johnson&Johnson,92997
Austria,18/06/2021,Moderna,682498
Austria,18/06/2021,Oxford/AstraZeneca,1195915
Austria,18/06/2021,Pfizer/BioNTech,4938964
Austria,25/06/2021,Johnson&Johnson,101378
Austria,25/06/2021,Moderna,737605
Austria,25/06/2021,Oxford/AstraZeneca,1268803
Austria,25/06/2021,Pfizer/BioNTech,5402566
Austria,2/07/2021,Johnson&Johnson,125763
Austria,2/07/2021,Moderna,796102
Austria,2/07/2021,Oxford/AstraZeneca,1374702
Austria,2/07/2021,Pfizer/BioNTech,5813877
Austria,6/07/2021,Johnson&Johnson,130125
Austria,6/07/2021,Moderna,799614
Austria,6/07/2021,Oxford/AstraZeneca,1386488
Austria,6/07/2021,Pfizer/BioNTech,5838062
Belgium,8/01/2021,Pfizer/BioNTech,27673
Belgium,15/01/2021,Moderna,9
Belgium,15/01/2021,Pfizer/BioNTech,126181
Belgium,22/01/2021,Moderna,4439
Belgium,22/01/2021,Pfizer/BioNTech,244158
Belgium,29/01/2021,Moderna,6110
Belgium,29/01/2021,Pfizer/BioNTech,333596
Belgium,5/02/2021,Moderna,15754
Belgium,5/02/2021,Oxford/AstraZeneca,0
Belgium,5/02/2021,Pfizer/BioNTech,462111
Belgium,12/02/2021,Moderna,25216
Belgium,12/02/2021,Oxford/AstraZeneca,314
Belgium,12/02/2021,Pfizer/BioNTech,597551
Belgium,19/02/2021,Moderna,29957
Belgium,19/02/2021,Oxford/AstraZeneca,10553
Belgium,19/02/2021,Pfizer/BioNTech,698261
Belgium,26/02/2021,Moderna,32361
Belgium,26/02/2021,Oxford/AstraZeneca,44859
Belgium,26/02/2021,Pfizer/BioNTech,786405
Belgium,5/03/2021,Moderna,51017
Belgium,5/03/2021,Oxford/AstraZeneca,109282
Belgium,5/03/2021,Pfizer/BioNTech,874561
Belgium,12/03/2021,Moderna,66783
Belgium,12/03/2021,Oxford/AstraZeneca,189730
Belgium,12/03/2021,Pfizer/BioNTech,970462
Belgium,19/03/2021,Moderna,89133
Belgium,19/03/2021,Oxford/AstraZeneca,349321
Belgium,19/03/2021,Pfizer/BioNTech,1080207
Belgium,26/03/2021,Moderna,99308
Belgium,26/03/2021,Oxford/AstraZeneca,459108
Belgium,26/03/2021,Pfizer/BioNTech,1276104
Belgium,2/04/2021,Moderna,126939
Belgium,2/04/2021,Oxford/AstraZeneca,518752
Belgium,2/04/2021,Pfizer/BioNTech,1533928
Belgium,9/04/2021,Moderna,173900
Belgium,9/04/2021,Oxford/AstraZeneca,597460
Belgium,9/04/2021,Pfizer/BioNTech,1851218
Belgium,16/04/2021,Johnson&Johnson,0
Belgium,16/04/2021,Moderna,208248
Belgium,16/04/2021,Oxford/AstraZeneca,777852
Belgium,16/04/2021,Pfizer/BioNTech,2127847
Belgium,23/04/2021,Moderna,259342
Belgium,23/04/2021,Oxford/AstraZeneca,834454
Belgium,23/04/2021,Pfizer/BioNTech,2444052
Belgium,30/04/2021,Johnson&Johnson,2873
Belgium,30/04/2021,Moderna,286214
Belgium,30/04/2021,Oxford/AstraZeneca,899552
Belgium,30/04/2021,Pfizer/BioNTech,2799234
Belgium,7/05/2021,Johnson&Johnson,23587
Belgium,7/05/2021,Moderna,343684
Belgium,7/05/2021,Oxford/AstraZeneca,1001668
Belgium,7/05/2021,Pfizer/BioNTech,3350688
Belgium,14/05/2021,Johnson&Johnson,29143
Belgium,14/05/2021,Moderna,397970
Belgium,14/05/2021,Oxford/AstraZeneca,1094824
Belgium,14/05/2021,Pfizer/BioNTech,3801524
Belgium,21/05/2021,Johnson&Johnson,49204
Belgium,21/05/2021,Moderna,499490
Belgium,21/05/2021,Oxford/AstraZeneca,1361138
Belgium,21/05/2021,Pfizer/BioNTech,4169938
Belgium,28/05/2021,Johnson&Johnson,72718
Belgium,28/05/2021,Moderna,573754
Belgium,28/05/2021,Oxford/AstraZeneca,1460395
Belgium,28/05/2021,Pfizer/BioNTech,4611173
Belgium,4/06/2021,Johnson&Johnson,96348
Belgium,4/06/2021,Moderna,649876
Belgium,4/06/2021,Oxford/AstraZeneca,1563298
Belgium,4/06/2021,Pfizer/BioNTech,5309146
Belgium,11/06/2021,Johnson&Johnson,142157
Belgium,11/06/2021,Moderna,736082
Belgium,11/06/2021,Oxford/AstraZeneca,1749842
Belgium,11/06/2021,Pfizer/BioNTech,6062610
Belgium,18/06/2021,Johnson&Johnson,211333
Belgium,18/06/2021,Moderna,842560
Belgium,18/06/2021,Oxford/AstraZeneca,1884226
Belgium,18/06/2021,Pfizer/BioNTech,6778676
Belgium,25/06/2021,Johnson&Johnson,243611
Belgium,25/06/2021,Moderna,955316
Belgium,25/06/2021,Oxford/AstraZeneca,1952817
Belgium,25/06/2021,Pfizer/BioNTech,7469390
Belgium,2/07/2021,Johnson&Johnson,268603
Belgium,2/07/2021,Moderna,1038887
Belgium,2/07/2021,Oxford/AstraZeneca,2050278
Belgium,2/07/2021,Pfizer/BioNTech,7972541
Belgium,6/07/2021,Johnson&Johnson,270487
Belgium,6/07/2021,Moderna,1048818
Belgium,6/07/2021,Oxford/AstraZeneca,2073762
Belgium,6/07/2021,Pfizer/BioNTech,8006732
Bulgaria,1/01/2021,Pfizer/BioNTech,0
Bulgaria,8/01/2021,Moderna,0
Bulgaria,8/01/2021,Pfizer/BioNTech,13473
Bulgaria,15/01/2021,Moderna,491
Bulgaria,15/01/2021,Pfizer/BioNTech,17962
Bulgaria,22/01/2021,Moderna,843
Bulgaria,22/01/2021,Pfizer/BioNTech,25300
Bulgaria,29/01/2021,Moderna,1053
Bulgaria,29/01/2021,Pfizer/BioNTech,40072
Bulgaria,5/02/2021,Moderna,2207
Bulgaria,5/02/2021,Oxford/AstraZeneca,10
Bulgaria,5/02/2021,Pfizer/BioNTech,54821
Bulgaria,12/02/2021,Moderna,3333
Bulgaria,12/02/2021,Oxford/AstraZeneca,2035
Bulgaria,12/02/2021,Pfizer/BioNTech,70020
Bulgaria,19/02/2021,Moderna,6446
Bulgaria,19/02/2021,Oxford/AstraZeneca,28947
Bulgaria,19/02/2021,Pfizer/BioNTech,83960
Bulgaria,26/02/2021,Moderna,10475
Bulgaria,26/02/2021,Oxford/AstraZeneca,97630
Bulgaria,26/02/2021,Pfizer/BioNTech,104340
Bulgaria,5/03/2021,Moderna,14820
Bulgaria,5/03/2021,Oxford/AstraZeneca,143932
Bulgaria,5/03/2021,Pfizer/BioNTech,129880
Bulgaria,12/03/2021,Moderna,16988
Bulgaria,12/03/2021,Oxford/AstraZeneca,174209
Bulgaria,12/03/2021,Pfizer/BioNTech,147683
Bulgaria,19/03/2021,Moderna,20921
Bulgaria,19/03/2021,Oxford/AstraZeneca,179029
Bulgaria,19/03/2021,Pfizer/BioNTech,168956
Bulgaria,26/03/2021,Moderna,34004
Bulgaria,26/03/2021,Oxford/AstraZeneca,206835
Bulgaria,26/03/2021,Pfizer/BioNTech,195704
Bulgaria,2/04/2021,Moderna,44809
Bulgaria,2/04/2021,Oxford/AstraZeneca,230180
Bulgaria,2/04/2021,Pfizer/BioNTech,228583
Bulgaria,9/04/2021,Moderna,59160
Bulgaria,9/04/2021,Oxford/AstraZeneca,238387
Bulgaria,9/04/2021,Pfizer/BioNTech,275118
Bulgaria,16/04/2021,Johnson&Johnson,0
Bulgaria,16/04/2021,Moderna,74318
Bulgaria,16/04/2021,Oxford/AstraZeneca,241707
Bulgaria,16/04/2021,Pfizer/BioNTech,322422
Bulgaria,23/04/2021,Johnson&Johnson,0
Bulgaria,23/04/2021,Moderna,93241
Bulgaria,23/04/2021,Oxford/AstraZeneca,247383
Bulgaria,23/04/2021,Pfizer/BioNTech,382650
Bulgaria,30/04/2021,Johnson&Johnson,0
Bulgaria,30/04/2021,Moderna,108865
Bulgaria,30/04/2021,Oxford/AstraZeneca,263756
Bulgaria,30/04/2021,Pfizer/BioNTech,452036
Bulgaria,7/05/2021,Johnson&Johnson,0
Bulgaria,7/05/2021,Moderna,122688
Bulgaria,7/05/2021,Oxford/AstraZeneca,300451
Bulgaria,7/05/2021,Pfizer/BioNTech,514960
Bulgaria,14/05/2021,Johnson&Johnson,398
Bulgaria,14/05/2021,Moderna,145571
Bulgaria,14/05/2021,Oxford/AstraZeneca,364379
Bulgaria,14/05/2021,Pfizer/BioNTech,606439
Bulgaria,21/05/2021,Johnson&Johnson,2629
Bulgaria,21/05/2021,Moderna,165767
Bulgaria,21/05/2021,Oxford/AstraZeneca,401422
Bulgaria,21/05/2021,Pfizer/BioNTech,690983
Bulgaria,28/05/2021,Johnson&Johnson,6276
Bulgaria,28/05/2021,Moderna,181502
Bulgaria,28/05/2021,Oxford/AstraZeneca,411232
Bulgaria,28/05/2021,Pfizer/BioNTech,754371
Bulgaria,4/06/2021,Johnson&Johnson,11142
Bulgaria,4/06/2021,Moderna,190457
Bulgaria,4/06/2021,Oxford/AstraZeneca,435357
Bulgaria,4/06/2021,Pfizer/BioNTech,827459
Bulgaria,11/06/2021,Johnson&Johnson,17987
Bulgaria,11/06/2021,Moderna,202784
Bulgaria,11/06/2021,Oxford/AstraZeneca,457900
Bulgaria,11/06/2021,Pfizer/BioNTech,898271
Bulgaria,18/06/2021,Johnson&Johnson,25928
Bulgaria,18/06/2021,Moderna,216421
Bulgaria,18/06/2021,Oxford/AstraZeneca,467870
Bulgaria,18/06/2021,Pfizer/BioNTech,949706
Bulgaria,25/06/2021,Johnson&Johnson,33099
Bulgaria,25/06/2021,Moderna,225728
Bulgaria,25/06/2021,Oxford/AstraZeneca,470990
Bulgaria,25/06/2021,Pfizer/BioNTech,997114
Bulgaria,2/07/2021,Johnson&Johnson,39994
Bulgaria,2/07/2021,Moderna,234047
Bulgaria,2/07/2021,Oxford/AstraZeneca,472860
Bulgaria,2/07/2021,Pfizer/BioNTech,1042927
Bulgaria,6/07/2021,Johnson&Johnson,41201
Bulgaria,6/07/2021,Moderna,234047
Bulgaria,6/07/2021,Oxford/AstraZeneca,472860
Bulgaria,6/07/2021,Pfizer/BioNTech,1042927
Chile,24/12/2020,Pfizer/BioNTech,420
Chile,25/12/2020,Pfizer/BioNTech,5197
Chile,26/12/2020,Pfizer/BioNTech,8340
Chile,27/12/2020,Pfizer/BioNTech,8651
Chile,28/12/2020,Pfizer/BioNTech,8651
Chile,29/12/2020,Pfizer/BioNTech,8651
Chile,30/12/2020,Pfizer/BioNTech,8651
Chile,31/12/2020,Pfizer/BioNTech,8651
Chile,1/01/2021,Pfizer/BioNTech,8651
Chile,2/01/2021,Pfizer/BioNTech,8651
Chile,3/01/2021,Pfizer/BioNTech,8651
Chile,4/01/2021,Pfizer/BioNTech,9056
Chile,5/01/2021,Pfizer/BioNTech,10499
Chile,6/01/2021,Pfizer/BioNTech,10704
Chile,7/01/2021,Pfizer/BioNTech,10704
Chile,8/01/2021,Pfizer/BioNTech,10704
Chile,9/01/2021,Pfizer/BioNTech,10704
Chile,10/01/2021,Pfizer/BioNTech,10704
Chile,11/01/2021,Pfizer/BioNTech,10704
Chile,12/01/2021,Pfizer/BioNTech,10704
Chile,13/01/2021,Pfizer/BioNTech,11737
Chile,14/01/2021,Pfizer/BioNTech,18651
Chile,15/01/2021,Pfizer/BioNTech,22082
Chile,16/01/2021,Pfizer/BioNTech,22172
Chile,17/01/2021,Pfizer/BioNTech,22172
Chile,18/01/2021,Pfizer/BioNTech,33212
Chile,19/01/2021,Pfizer/BioNTech,52568
Chile,20/01/2021,Pfizer/BioNTech,61873
Chile,21/01/2021,Pfizer/BioNTech,64931
Chile,22/01/2021,Pfizer/BioNTech,65343
Chile,23/01/2021,Pfizer/BioNTech,65343
Chile,24/01/2021,Pfizer/BioNTech,65343
Chile,25/01/2021,Pfizer/BioNTech,66763
Chile,26/01/2021,Pfizer/BioNTech,67379
Chile,27/01/2021,Pfizer/BioNTech,67414
Chile,28/01/2021,Pfizer/BioNTech,67414
Chile,29/01/2021,Pfizer/BioNTech,67419
Chile,30/01/2021,Pfizer/BioNTech,67420
Chile,31/01/2021,Pfizer/BioNTech,67420
Chile,1/02/2021,Pfizer/BioNTech,67420
Chile,2/02/2021,Pfizer/BioNTech,67426
Chile,2/02/2021,Sinovac,13181
Chile,3/02/2021,Pfizer/BioNTech,67426
Chile,3/02/2021,Sinovac,183545
Chile,4/02/2021,Pfizer/BioNTech,69554
Chile,4/02/2021,Sinovac,357550
Chile,5/02/2021,Pfizer/BioNTech,70242
Chile,5/02/2021,Sinovac,526230
Chile,6/02/2021,Pfizer/BioNTech,70247
Chile,6/02/2021,Sinovac,554079
Chile,7/02/2021,Pfizer/BioNTech,70249
Chile,7/02/2021,Sinovac,562713
Chile,8/02/2021,Pfizer/BioNTech,82038
Chile,8/02/2021,Sinovac,784172
Chile,9/02/2021,Pfizer/BioNTech,101510
Chile,9/02/2021,Sinovac,1026553
Chile,10/02/2021,Pfizer/BioNTech,109951
Chile,10/02/2021,Sinovac,1298876
Chile,11/02/2021,Pfizer/BioNTech,113020
Chile,11/02/2021,Sinovac,1550045
Chile,12/02/2021,Pfizer/BioNTech,113380
Chile,12/02/2021,Sinovac,1779133
Chile,13/02/2021,Pfizer/BioNTech,113413
Chile,13/02/2021,Sinovac,1808653
Chile,14/02/2021,Pfizer/BioNTech,113413
Chile,14/02/2021,Sinovac,1813120
Chile,15/02/2021,Pfizer/BioNTech,113414
Chile,15/02/2021,Sinovac,2078983
Chile,16/02/2021,Pfizer/BioNTech,113426
Chile,16/02/2021,Sinovac,2299011
Chile,17/02/2021,Pfizer/BioNTech,113426
Chile,17/02/2021,Sinovac,2487051
Chile,18/02/2021,Pfizer/BioNTech,113429
Chile,18/02/2021,Sinovac,2642308
Chile,19/02/2021,Pfizer/BioNTech,113429
Chile,19/02/2021,Sinovac,2784428
Chile,20/02/2021,Pfizer/BioNTech,113431
Chile,20/02/2021,Sinovac,2794067
Chile,21/02/2021,Pfizer/BioNTech,113431
Chile,21/02/2021,Sinovac,2795229
Chile,22/02/2021,Pfizer/BioNTech,125528
Chile,22/02/2021,Sinovac,2891265
Chile,23/02/2021,Pfizer/BioNTech,150375
Chile,23/02/2021,Sinovac,2960666
Chile,24/02/2021,Pfizer/BioNTech,178896
Chile,24/02/2021,Sinovac,3018420
Chile,25/02/2021,Pfizer/BioNTech,212606
Chile,25/02/2021,Sinovac,3070781
Chile,26/02/2021,Pfizer/BioNTech,242317
Chile,26/02/2021,Sinovac,3119440
Chile,27/02/2021,Pfizer/BioNTech,248578
Chile,27/02/2021,Sinovac,3123162
Chile,28/02/2021,Pfizer/BioNTech,248580
Chile,28/02/2021,Sinovac,3123515
Chile,1/03/2021,Pfizer/BioNTech,263422
Chile,1/03/2021,Sinovac,3246175
Chile,2/03/2021,Pfizer/BioNTech,294258
Chile,2/03/2021,Sinovac,3386619
Chile,3/03/2021,Pfizer/BioNTech,312770
Chile,3/03/2021,Sinovac,3679955
Chile,4/03/2021,Pfizer/BioNTech,321829
Chile,4/03/2021,Sinovac,3981385
Chile,5/03/2021,Pfizer/BioNTech,327569
Chile,5/03/2021,Sinovac,4273426
Chile,6/03/2021,Pfizer/BioNTech,327913
Chile,6/03/2021,Sinovac,4306862
Chile,7/03/2021,Pfizer/BioNTech,328019
Chile,7/03/2021,Sinovac,4314715
Chile,8/03/2021,Pfizer/BioNTech,340559
Chile,8/03/2021,Sinovac,4652713
Chile,9/03/2021,Pfizer/BioNTech,378054
Chile,9/03/2021,Sinovac,4991662
Chile,10/03/2021,Pfizer/BioNTech,419580
Chile,10/03/2021,Sinovac,5351384
Chile,11/03/2021,Pfizer/BioNTech,465266
Chile,11/03/2021,Sinovac,5722682
Chile,12/03/2021,Pfizer/BioNTech,482609
Chile,12/03/2021,Sinovac,6079597
Chile,13/03/2021,Pfizer/BioNTech,483161
Chile,13/03/2021,Sinovac,6129495
Chile,14/03/2021,Pfizer/BioNTech,483161
Chile,14/03/2021,Sinovac,6136079
Chile,15/03/2021,Pfizer/BioNTech,506921
Chile,15/03/2021,Sinovac,6542417
Chile,16/03/2021,Pfizer/BioNTech,560133
Chile,16/03/2021,Sinovac,6899065
Chile,17/03/2021,Pfizer/BioNTech,615166
Chile,17/03/2021,Sinovac,7210832
Chile,18/03/2021,Pfizer/BioNTech,663896
Chile,18/03/2021,Sinovac,7496142
Chile,19/03/2021,Pfizer/BioNTech,683047
Chile,19/03/2021,Sinovac,7767502
Chile,20/03/2021,Pfizer/BioNTech,684903
Chile,20/03/2021,Sinovac,7799775
Chile,21/03/2021,Pfizer/BioNTech,684904
Chile,21/03/2021,Sinovac,7803788
Chile,22/03/2021,Pfizer/BioNTech,718105
Chile,22/03/2021,Sinovac,8036432
Chile,23/03/2021,Pfizer/BioNTech,774655
Chile,23/03/2021,Sinovac,8217356
Chile,24/03/2021,Pfizer/BioNTech,826061
Chile,24/03/2021,Sinovac,8383507
Chile,25/03/2021,Pfizer/BioNTech,879598
Chile,25/03/2021,Sinovac,8541580
Chile,26/03/2021,Pfizer/BioNTech,917333
Chile,26/03/2021,Sinovac,8720811
Chile,27/03/2021,Pfizer/BioNTech,919323
Chile,27/03/2021,Sinovac,8734464
Chile,28/03/2021,Pfizer/BioNTech,919323
Chile,28/03/2021,Sinovac,8735857
Chile,29/03/2021,Pfizer/BioNTech,940838
Chile,29/03/2021,Sinovac,8980549
Chile,30/03/2021,Pfizer/BioNTech,997500
Chile,30/03/2021,Sinovac,9201680
Chile,31/03/2021,Pfizer/BioNTech,1043052
Chile,31/03/2021,Sinovac,9435793
Chile,1/04/2021,Pfizer/BioNTech,1066306
Chile,1/04/2021,Sinovac,9715299
Chile,2/04/2021,Pfizer/BioNTech,1066529
Chile,2/04/2021,Sinovac,9722103
Chile,3/04/2021,Pfizer/BioNTech,1066720
Chile,3/04/2021,Sinovac,9725135
Chile,4/04/2021,Pfizer/BioNTech,1066722
Chile,4/04/2021,Sinovac,9726251
Chile,5/04/2021,Pfizer/BioNTech,1097364
Chile,5/04/2021,Sinovac,9979829
Chile,6/04/2021,Pfizer/BioNTech,1179409
Chile,6/04/2021,Sinovac,10136815
Chile,7/04/2021,Pfizer/BioNTech,1268065
Chile,7/04/2021,Sinovac,10280792
Chile,8/04/2021,Pfizer/BioNTech,1345735
Chile,8/04/2021,Sinovac,10442030
Chile,9/04/2021,Pfizer/BioNTech,1394401
Chile,9/04/2021,Sinovac,10611707
Chile,10/04/2021,Pfizer/BioNTech,1402131
Chile,10/04/2021,Sinovac,10629902
Chile,11/04/2021,Pfizer/BioNTech,1402628
Chile,11/04/2021,Sinovac,10631848
Chile,12/04/2021,Pfizer/BioNTech,1466737
Chile,12/04/2021,Sinovac,10804009
Chile,13/04/2021,Pfizer/BioNTech,1553999
Chile,13/04/2021,Sinovac,10951073
Chile,14/04/2021,Pfizer/BioNTech,1642324
Chile,14/04/2021,Sinovac,11090999
Chile,15/04/2021,Pfizer/BioNTech,1708707
Chile,15/04/2021,Sinovac,11230126
Chile,16/04/2021,Pfizer/BioNTech,1755758
Chile,16/04/2021,Sinovac,11373505
Chile,17/04/2021,Pfizer/BioNTech,1761521
Chile,17/04/2021,Sinovac,11389902
Chile,18/04/2021,Pfizer/BioNTech,1762176
Chile,18/04/2021,Sinovac,11391863
Chile,19/04/2021,Pfizer/BioNTech,1783480
Chile,19/04/2021,Sinovac,11562700
Chile,20/04/2021,Pfizer/BioNTech,1824507
Chile,20/04/2021,Sinovac,11707501
Chile,21/04/2021,Pfizer/BioNTech,1868937
Chile,21/04/2021,Sinovac,11838946
Chile,22/04/2021,Pfizer/BioNTech,1914803
Chile,22/04/2021,Sinovac,11992497
Chile,23/04/2021,Pfizer/BioNTech,1943041
Chile,23/04/2021,Sinovac,12147109
Chile,24/04/2021,Pfizer/BioNTech,1945353
Chile,24/04/2021,Sinovac,12162390
Chile,25/04/2021,Pfizer/BioNTech,1945354
Chile,25/04/2021,Sinovac,12163430
Chile,26/04/2021,Pfizer/BioNTech,1989791
Chile,26/04/2021,Sinovac,12314712
Chile,27/04/2021,Pfizer/BioNTech,2052538
Chile,27/04/2021,Sinovac,12422325
Chile,28/04/2021,Oxford/AstraZeneca,2333
Chile,28/04/2021,Pfizer/BioNTech,2107867
Chile,28/04/2021,Sinovac,12532964
Chile,29/04/2021,Oxford/AstraZeneca,6529
Chile,29/04/2021,Pfizer/BioNTech,2142160
Chile,29/04/2021,Sinovac,12649223
Chile,30/04/2021,Oxford/AstraZeneca,18609
Chile,30/04/2021,Pfizer/BioNTech,2174376
Chile,30/04/2021,Sinovac,12692295
Chile,1/05/2021,Oxford/AstraZeneca,18814
Chile,1/05/2021,Pfizer/BioNTech,2175603
Chile,1/05/2021,Sinovac,12693130
Chile,2/05/2021,Oxford/AstraZeneca,18932
Chile,2/05/2021,Pfizer/BioNTech,2176057
Chile,2/05/2021,Sinovac,12694021
Chile,3/05/2021,Oxford/AstraZeneca,34410
Chile,3/05/2021,Pfizer/BioNTech,2204038
Chile,3/05/2021,Sinovac,12801814
Chile,4/05/2021,Oxford/AstraZeneca,48063
Chile,4/05/2021,Pfizer/BioNTech,2252572
Chile,4/05/2021,Sinovac,12908518
Chile,5/05/2021,Oxford/AstraZeneca,56698
Chile,5/05/2021,Pfizer/BioNTech,2301630
Chile,5/05/2021,Sinovac,13025215
Chile,6/05/2021,Oxford/AstraZeneca,63642
Chile,6/05/2021,Pfizer/BioNTech,2342103
Chile,6/05/2021,Sinovac,13135324
Chile,7/05/2021,Oxford/AstraZeneca,67646
Chile,7/05/2021,Pfizer/BioNTech,2375521
Chile,7/05/2021,Sinovac,13245102
Chile,8/05/2021,Oxford/AstraZeneca,68278
Chile,8/05/2021,Pfizer/BioNTech,2381152
Chile,8/05/2021,Sinovac,13264283
Chile,9/05/2021,Oxford/AstraZeneca,68348
Chile,9/05/2021,Pfizer/BioNTech,2381215
Chile,9/05/2021,Sinovac,13265554
Chile,10/05/2021,Oxford/AstraZeneca,71228
Chile,10/05/2021,Pfizer/BioNTech,2420157
Chile,10/05/2021,Sinovac,13396770
Chile,11/05/2021,Oxford/AstraZeneca,73180
Chile,11/05/2021,Pfizer/BioNTech,2485383
Chile,11/05/2021,Sinovac,13521344
Chile,12/05/2021,Oxford/AstraZeneca,74824
Chile,12/05/2021,Pfizer/BioNTech,2544093
Chile,12/05/2021,Sinovac,13643489
Chile,13/05/2021,Oxford/AstraZeneca,75372
Chile,13/05/2021,Pfizer/BioNTech,2591195
Chile,13/05/2021,Sinovac,13752649
Chile,14/05/2021,Oxford/AstraZeneca,75606
Chile,14/05/2021,Pfizer/BioNTech,2635302
Chile,14/05/2021,Sinovac,13866919
Chile,15/05/2021,Oxford/AstraZeneca,75646
Chile,15/05/2021,Pfizer/BioNTech,2635585
Chile,15/05/2021,Sinovac,13868041
Chile,16/05/2021,Oxford/AstraZeneca,75646
Chile,16/05/2021,Pfizer/BioNTech,2635665
Chile,16/05/2021,Sinovac,13868396
Chile,17/05/2021,Oxford/AstraZeneca,75939
Chile,17/05/2021,Pfizer/BioNTech,2688550
Chile,17/05/2021,Sinovac,13986330
Chile,18/05/2021,Oxford/AstraZeneca,77365
Chile,18/05/2021,Pfizer/BioNTech,2766375
Chile,18/05/2021,Sinovac,14089974
Chile,19/05/2021,Oxford/AstraZeneca,83870
Chile,19/05/2021,Pfizer/BioNTech,2844709
Chile,19/05/2021,Sinovac,14170846
Chile,20/05/2021,Oxford/AstraZeneca,90577
